Prerequisite_2,Part_Time,Currency,Face_to_Face,Duration,Prerequisite_1,City,Currency_Time,Blended,Course_Lang,Offline,Int_Fees,Prerequisite_2_grade_2,Full_Time,Distance,Career_Outcomes/path,University,Availability,Local_Fees,Prerequisite_3_grade_3,Website,Prerequisite_3,Description,Prerequisite_1_grade_1,Duration_Time,Country,Faculty,Level_Code,Online,Course,Remarks
IELTS,Yes,AUD,Yes,1.0,ATAR,Darwin,Years,Yes,English,Yes,"26,968.00",6.0,Yes,Yes,"Completing the Diploma of Laws may lead to roles in politics, industrial relations and community advocacy in government, private companies and non-government organisations (NGO).",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/diploma-laws-ylaw01-2021,Equivalent ,"The Diploma of Laws offers you a general understanding of the law, legal processes and legal principles, as well as an opportunity to gain the specialist knowledge you may need for work or other reasons.",,Year,Australia,Asia Pacific College of Business and Law,DIP,Yes,Diploma of Laws,
IELTS,Yes,AUD,Yes,1.0,ATAR,Online,Years,Yes,English,Yes,"26,968.00",6.0,Yes,Yes,"Completing the Diploma of Laws may lead to roles in politics, industrial relations and community advocacy in government, private companies and non-government organisations (NGO).",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/diploma-laws-ylaw01-2021,Equivalent ,"The Diploma of Laws offers you a general understanding of the law, legal processes and legal principles, as well as an opportunity to gain the specialist knowledge you may need for work or other reasons.",,Year,Australia,Asia Pacific College of Business and Law,DIP,Yes,Diploma of Laws,
IELTS,Yes,AUD,Yes,3.0,ATAR,Darwin,Years,Yes,English,Yes,"32,320.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in roles including midwifery group practice, homebirth and working in public or private hospitals.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-midwifery-wmidw1-2021,Equivalent ,"Through a partnership approach, midwives provide woman centred, evidence based care for women and babies throughout the childbearing journey in a variety of settings. Midwives play an important role in promoting the health and wellbeing of women and their families by supporting the woman's childbearing choices and providing expertise around pregnancy, birth, postnatal and the newborn period. Midwives collaborate with other health professionals to continue midwifery care in complex situations.",,Years,Australia,College of Nursing and Midwifery,BA,Yes,Bachelor of Midwifery,
IELTS,Yes,AUD,Yes,3.0,ATAR,Online,Years,Yes,English,Yes,"32,320.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in roles including midwifery group practice, homebirth and working in public or private hospitals.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-midwifery-wmidw1-2021,Equivalent ,"Through a partnership approach, midwives provide woman centred, evidence based care for women and babies throughout the childbearing journey in a variety of settings. Midwives play an important role in promoting the health and wellbeing of women and their families by supporting the woman's childbearing choices and providing expertise around pregnancy, birth, postnatal and the newborn period. Midwives collaborate with other health professionals to continue midwifery care in complex situations.",,Years,Australia,College of Nursing and Midwifery,BA,Yes,Bachelor of Midwifery,
IELTS,Yes,AUD,Yes,1.0,ATAR,Online,Years,Yes,English,Yes,N/A,6.0,Yes,Yes,Completion of a high quality honours degree can lead directly to entry to Doctor of Philosophy programs or prepare students for career opportunities as a research midwife. An Honours degree extends clinical knowledge in a specific area and can enhance your practicein your chosen clinical area.,Charles Darwin University,D,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-midwifery-honours-vmidh1-2021,Equivalent ,The Bachelor of Midwifery Honours is designed to extend knowledge gained through your undergraduate midwifery education. You will undertake the program in partnership with an experienced midwife academic who will provide mentoring and an introduction to research with a midwifery focus of your choice. The course addresses foundation research concepts required for higher level research studies. This encompasses:,,Year,Australia,College of Nursing and Midwifery,HONS,Yes,Bachelor of Midwifery Honours,
IELTS,Yes,AUD,Yes,3.0,ATAR,Darwin,Years,Yes,English,Yes,"32,320.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in public and private hospitals and medical clinics in areas such as mental health, community health, acute and chronic care.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-nursing-wnur01-2021,Equivalent ,The Nursing and Midwifery Board of Australia have made changes to the English language skills registration standard. Please refer to their website for further information www.nursingmidwiferyboard.gov.au/Registration-Standards/English-language-skills.aspx.,,Years,Australia,College of Nursing and Midwifery,BA,Yes,Bachelor of Nursing,
IELTS,Yes,AUD,Yes,3.0,ATAR,Sydney,Years,Yes,English,Yes,"32,320.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in public and private hospitals and medical clinics in areas such as mental health, community health, acute and chronic care.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-nursing-wnur01-2021,Equivalent ,The Nursing and Midwifery Board of Australia have made changes to the English language skills registration standard. Please refer to their website for further information www.nursingmidwiferyboard.gov.au/Registration-Standards/English-language-skills.aspx.,,Years,Australia,College of Nursing and Midwifery,BA,Yes,Bachelor of Nursing,
IELTS,Yes,AUD,Yes,3.0,ATAR,Online,Years,Yes,English,Yes,"32,320.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in public and private hospitals and medical clinics in areas such as mental health, community health, acute and chronic care.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-nursing-wnur01-2021,Equivalent ,The Nursing and Midwifery Board of Australia have made changes to the English language skills registration standard. Please refer to their website for further information www.nursingmidwiferyboard.gov.au/Registration-Standards/English-language-skills.aspx.,,Years,Australia,College of Nursing and Midwifery,BA,Yes,Bachelor of Nursing,
IELTS,Yes,AUD,Yes,1.0,ATAR,Online,Years,Yes,English,Yes,N/A,6.0,Yes,Yes,Completion of a high quality honours degree can lead directly to entry to Doctor of Philosophy programs or prepare students for career opportunities as a research nurse. An Honours degree extends clinical knowledge in a specific area and can enhance your practicein your chosen clinical area.,Charles Darwin University,D,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-nursing-honours-vnurh1-2021,Equivalent ,The Bachelor of Nursing Honours is designed to extend knowledge gained through your undergraduate nursing education. You will undertake the program in partnership with an experienced nurse academic who will provide mentoring and an introduction to research with a nursing focus of your choice. The course addresses foundation research concepts required for higher level research studies. This encompasses:,,Year,Australia,College of Nursing and Midwifery,HONS,Yes,Bachelor of Nursing Honours,
IELTS,Yes,AUD,Yes,3.0,ATAR,Darwin,Years,Yes,English,Yes,"28,224.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in child and family services, child protection, community health and welfare, drug and alcohol, disability and rehabilitation services, health service management, research and evaluation, policy and planning, human resources management and marketing.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-psychological-science-wpsys1-2021,Equivalent ,"In the Bachelor of Psychological Science, you will develop an integrated understanding of human behaviour including social-cultural perspective, motivations, health and psychopathology as well as the fundamental premise of psychology as an empirically based science.",,Years,Australia,College of Health and Human Sciences,BA,Yes,Bachelor of Psychological Science,
IELTS,Yes,AUD,Yes,3.0,ATAR,Online,Years,Yes,English,Yes,"28,224.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in child and family services, child protection, community health and welfare, drug and alcohol, disability and rehabilitation services, health service management, research and evaluation, policy and planning, human resources management and marketing.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-psychological-science-wpsys1-2021,Equivalent ,"In the Bachelor of Psychological Science, you will develop an integrated understanding of human behaviour including social-cultural perspective, motivations, health and psychopathology as well as the fundamental premise of psychology as an empirically based science.",,Years,Australia,College of Health and Human Sciences,BA,Yes,Bachelor of Psychological Science,
IELTS,Yes,AUD,Yes,1.0,ATAR,Darwin,Years,Yes,English,Yes,N/A,6.0,Yes,Yes,"After graduating, you will have the knowledge and skills to work in areas relevant to human health and wellbeing such as health, counselling, education, sport, marketing, policy, forensic, youth work, justice systems, service delivery, human resource management and research. Depending on your chosen area, you could work in a wide variety of contexts including private practice as a provisional registered psychologist, state/territory and federal government agencies, community organisations, hospitals, businesses, schools and universities.  	Completing the honours program gives you access to exciting specialised graduate and postgraduate studies. If you complete your honours with at least a high 2A, you can also continue your studies by undertaking specialised postgraduate courses including the Masters of Psychology (Clinical) or choose a career in research by embarking on a PhD including the PhD/MPsych (Clinical).",Charles Darwin University,D,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-psychological-science-honours-vpssh1-2021,Equivalent ,"Are you a high achieving psychology student, wanting to distinguish yourself from other graduates and pursue a rewarding career as a clinical psychologist or in other professions? If yes, then the Bachelor of Psychological Science (Honours) could be the next step for you.",,Year,Australia,College of Health and Human Sciences,HONS,Yes,Bachelor of Psychological Science Honours,
IELTS,Yes,AUD,Yes,1.0,ATAR,Online,Years,Yes,English,Yes,N/A,6.0,Yes,Yes,"After graduating, you will have the knowledge and skills to work in areas relevant to human health and wellbeing such as health, counselling, education, sport, marketing, policy, forensic, youth work, justice systems, service delivery, human resource management and research. Depending on your chosen area, you could work in a wide variety of contexts including private practice as a provisional registered psychologist, state/territory and federal government agencies, community organisations, hospitals, businesses, schools and universities.  	Completing the honours program gives you access to exciting specialised graduate and postgraduate studies. If you complete your honours with at least a high 2A, you can also continue your studies by undertaking specialised postgraduate courses including the Masters of Psychology (Clinical) or choose a career in research by embarking on a PhD including the PhD/MPsych (Clinical).",Charles Darwin University,D,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-psychological-science-honours-vpssh1-2021,Equivalent ,"Are you a high achieving psychology student, wanting to distinguish yourself from other graduates and pursue a rewarding career as a clinical psychologist or in other professions? If yes, then the Bachelor of Psychological Science (Honours) could be the next step for you.",,Year,Australia,College of Health and Human Sciences,HONS,Yes,Bachelor of Psychological Science Honours,
IELTS,Yes,AUD,Yes,4.0,ATAR,Darwin,Years,Yes,English,Yes,"25,832.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in areas including child protection, income support, community health, community development, counselling, youth work, mental health, hospital social work, education and corrections.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-social-work-wscwk1-2021,Equivalent ,"As a social worker, you will work with people to achieve changes to improve their lives. You will guide and support the individual client, family, or community to meet their goals.",,Years,Australia,College of Health and Human Sciences,BA,Yes,Bachelor of Social Work,
IELTS,Yes,AUD,Yes,4.0,ATAR,Online,Years,Yes,English,Yes,"25,832.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in areas including child protection, income support, community health, community development, counselling, youth work, mental health, hospital social work, education and corrections.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-social-work-wscwk1-2021,Equivalent ,"As a social worker, you will work with people to achieve changes to improve their lives. You will guide and support the individual client, family, or community to meet their goals.",,Years,Australia,College of Health and Human Sciences,BA,Yes,Bachelor of Social Work,
IELTS,Yes,AUD,Yes,1.0,ATAR,Darwin,Years,Yes,English,Yes,"25,328.00",6.0,Yes,Yes,"This course complements your current qualifications and may prepare you for advanced career opportunities within education, nursing, social work, indigenous studies, health sciences and related areas.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/diploma-alcohol-and-other-drugs-yaod01-2021,Equivalent ,"Whether you are looking to broaden your awareness or build on your professional skill set, the Diploma of Alcohol and Other Drugs will expand your knowledge in these areas.",,Year,Australia,College of Health and Human Sciences,DIP,Yes,Diploma of Alcohol and Other Drugs,
IELTS,Yes,AUD,Yes,1.0,ATAR,Online,Years,Yes,English,Yes,"25,328.00",6.0,Yes,Yes,"This course complements your current qualifications and may prepare you for advanced career opportunities within education, nursing, social work, indigenous studies, health sciences and related areas.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/diploma-alcohol-and-other-drugs-yaod01-2021,Equivalent ,"Whether you are looking to broaden your awareness or build on your professional skill set, the Diploma of Alcohol and Other Drugs will expand your knowledge in these areas.",,Year,Australia,College of Health and Human Sciences,DIP,Yes,Diploma of Alcohol and Other Drugs,
IELTS,Yes,AUD,Yes,1.0,ATAR,Darwin,Years,Yes,English,Yes,"28,224.00",6.0,Yes,Yes,"This qualification will complement your existing professional career, or it may prepare you for career opportunities in counselling-related fields in government, private companies, non-government organisations (NGO) and community groups.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/diploma-counselling-ycoun1-2021,Equivalent ,Do you seek a career that will make a positive impact on the health and well-being of those in your community? Or perhaps you are wanting to build on your knowledge in human services? The Diploma of Counselling may be the course you are looking for.,,Year,Australia,College of Health and Human Sciences,DIP,Yes,Diploma of Counselling,
IELTS,Yes,AUD,Yes,1.0,ATAR,Online,Years,Yes,English,Yes,"28,224.00",6.0,Yes,Yes,"This qualification will complement your existing professional career, or it may prepare you for career opportunities in counselling-related fields in government, private companies, non-government organisations (NGO) and community groups.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/diploma-counselling-ycoun1-2021,Equivalent ,Do you seek a career that will make a positive impact on the health and well-being of those in your community? Or perhaps you are wanting to build on your knowledge in human services? The Diploma of Counselling may be the course you are looking for.,,Year,Australia,College of Health and Human Sciences,DIP,Yes,Diploma of Counselling,
IELTS,Yes,AUD,Yes,1.0,ATAR,Darwin,Years,Yes,English,Yes,"28,224.00",6.0,Yes,Yes,"This qualification will complement your existing professional career, or it may prepare you for career opportunities in various psychology-related fields in government, private companies, non-government organisations (NGO) and community groups.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/diploma-psychology-ypsy01-2021,Equivalent ,Want to study psychology without committing a full undergraduate degree? The Diploma of Psychology is what you are looking for.,,Year,Australia,College of Health and Human Sciences,DIP,Yes,Diploma of Psychology,
IELTS,Yes,AUD,Yes,1.0,ATAR,Online,Years,Yes,English,Yes,"28,224.00",6.0,Yes,Yes,"This qualification will complement your existing professional career, or it may prepare you for career opportunities in various psychology-related fields in government, private companies, non-government organisations (NGO) and community groups.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/diploma-psychology-ypsy01-2021,Equivalent ,Want to study psychology without committing a full undergraduate degree? The Diploma of Psychology is what you are looking for.,,Year,Australia,College of Health and Human Sciences,DIP,Yes,Diploma of Psychology,
IELTS,Yes,AUD,Yes,3.0,ATAR,Darwin,Years,Yes,English,Yes,"30,240.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in areas such as Primary and Community health centres, Health project officer, Health promotion practitioner, Health policy development, Education facilities, Mental health settings, Alcohol and drug services, Non-government organisations, Universities and research facilities, Research officer, Rural and remote health settings, Corporate and industrial settings, Supported employment and government departments.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-public-health-wpubh1-2021,Equivalent ,"If you are interested in connecting with communities and working to develop innovative and evidence-based health strategies, CDU's Bachelor of Public Health is perfect for you.",,Years,Australia,College of Health and Human Sciences,BA,Yes,Bachelor of Public Health,
IELTS,Yes,AUD,Yes,3.0,ATAR,Online,Years,Yes,English,Yes,"30,240.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in areas such as Primary and Community health centres, Health project officer, Health promotion practitioner, Health policy development, Education facilities, Mental health settings, Alcohol and drug services, Non-government organisations, Universities and research facilities, Research officer, Rural and remote health settings, Corporate and industrial settings, Supported employment and government departments.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-public-health-wpubh1-2021,Equivalent ,"If you are interested in connecting with communities and working to develop innovative and evidence-based health strategies, CDU's Bachelor of Public Health is perfect for you.",,Years,Australia,College of Health and Human Sciences,BA,Yes,Bachelor of Public Health,
IELTS,Yes,AUD,Yes,3.0,ATAR,Darwin,Years,Yes,English,Yes,N/A,6.0,Yes,No,Graduating from this course completes the first part of the Bachelor of Clinical Sciences/Doctor of Medicine (CDU/Flinders University) double degree and may lead to career opportunities in medicine or medical research.,Charles Darwin University,D,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-clinical-sciences-wcsci1-2021,Equivalent ,"The Bachelor of Clinical Sciences course is a direct pathway for CDU students to study medicine, on campus in Darwin. This course is part of a double degree with the Northern Territory Medical Program (NTMP) offered by Flinders University. Australian citizen or permanent resident school leavers with year 12 qualifications, or higher education students who have studied for no more than one year are eligible for consideration for entry.",,Years,Australia,College of Health and Human Sciences,BA,No,Bachelor of Clinical Sciences,
IELTS,Yes,AUD,Yes,3.0,ATAR,Darwin,Years,Yes,English,Yes,"32,336.00",6.0,Yes,Yes,"Graduating from this course prepares you with the skills and knowledge to work within government, private companies or community organisations, in areas including environment and heritage, biodiversity conservation, land and water resource management, mine site rehabilitation, nature-based tourism, Aboriginal land management, wildlife and reserve management, land-care, teaching, consultancy or environmental research.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-environmental-science-wenvs1-2021,Equivalent ,"With the Bachelor of Environmental Science your academic studies will be combined with practical experience, allowing you to play an active role in the protection and conservation of the environment.",,Years,Australia,"College of Engineering, IT and Environment",BA,Yes,Bachelor of Environmental Science,
IELTS,Yes,AUD,Yes,3.0,ATAR,Online,Years,Yes,English,Yes,"32,336.00",6.0,Yes,Yes,"Graduating from this course prepares you with the skills and knowledge to work within government, private companies or community organisations, in areas including environment and heritage, biodiversity conservation, land and water resource management, mine site rehabilitation, nature-based tourism, Aboriginal land management, wildlife and reserve management, land-care, teaching, consultancy or environmental research.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-environmental-science-wenvs1-2021,Equivalent ,"With the Bachelor of Environmental Science your academic studies will be combined with practical experience, allowing you to play an active role in the protection and conservation of the environment.",,Years,Australia,"College of Engineering, IT and Environment",BA,Yes,Bachelor of Environmental Science,
IELTS,Yes,AUD,Yes,3.0,ATAR,Darwin,Years,Yes,English,Yes,"30,240.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in areas such as health promotion, health services management, and public health.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-health-science-whsc02-2021,Equivalent ,"With a goal to keep our populations healthy, the demand for more health professionals with a broad skill set is increasing. The Bachelor of Health Science from Charles Darwin University provides the skills to fill the gap in the Australian health care system and prepares you for working in a multidisciplinary health industry.  The Bachelor of Health Science has strong health industry connections and course content which leads to work in areas including environmental officers , health policy and research, health and wellbeing or health promotion.  This course offers a pathway into master level studies so you can pursue a career in occupational therapy, health research or public health.",,Years,Australia,College of Health and Human Sciences,BA,Yes,Bachelor of Health Science,
